Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews
Lokkanta Meze & Barbeque,London,"Mediterranean, Barbecue, Turkish, Middle Eastern, Healthy, Vegetarian Friendly, Halal, Gluten Free Options, Vegan Options",56,4.5,$$ - $$$,589,"Authentic Turkish experience, Highly recommended, 01/08/2018, 12/10/2017"
Wahaca Brixton,London,"Mexican, Vegetarian Friendly, Vegan Options, Gluten Free Options",57,4.5,$$ - $$$,323,"Great food and service!, Good food, excelent service., 12/31/2017, 12/30/2017"
The Calabash of Culture,London,"Cafe, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options",58,5,$,196,"Delicious, The Calabash of Cultures, 01/07/2018, 01/03/2018"
Launceston Place,London,"French, European, British, Vegetarian Friendly, Gluten Free Options",59,4.5,$$$$,813,"An evening full of surprises., Delicious & romantic dinner, 01/06/2018, 01/04/2018"
Yuu Kitchen,London,"Taiwanese, Japanese, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",60,4.5,$$ - $$$,556,"Amazing food!, BEST ASIAN SMALL DISHES IN LONDON, 01/08/2018, 01/07/2018"
Afternoon Tea at One Aldwych,London,"British, Gluten Free Options, Vegetarian Friendly, Vegan Options",61,4.5,$$$$,648,"Fabulous “Charlie and the Chocolate Factor..., good Afternoon tea experience but for the..., 01/05/2018, 01/03/2018"
The Goring Dining Room,London,"European, British, Vegetarian Friendly, Gluten Free Options, Vegan Options",62,4.5,$$$$,747,"Amazing breakfast!, Eggs Drumkilbo in impeccable setting, 01/08/2018, 01/04/2018"
Mr Piadina,London,"Italian, Fast Food, Mediterranean, Vegetarian Friendly, Vegan Options",63,4.5,$,386,"Very nice for a quick snack or a light lun..., Yummy and great value, 12/09/2017, 11/29/2017"
Rox Burger - Lewisham,London,"American, British, Vegetarian Friendly",64,4.5,$,447,"Grass fed beef is the best., Excellent burgers, friendly staff, 01/03/2018, 11/24/2017"
Le Gavroche,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",65,4.5,$$$$,3161,"Birthday celebrations, The best of the best, 12/29/2017, 12/26/2017"
Green Pea,London,"Irish, Bar, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",66,4.5,$$ - $$$,750,"Jon, Perfection!, 01/05/2018, 01/05/2018"
Restaurant Gordon Ramsay,London,"French, European, British, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",67,4.5,$$$$,2761,"Visit with friends, Amazing fine dinning experience., 01/08/2018, 01/03/2018"
Picture Fitzrovia,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",68,4.5,$$ - $$$,696,"Casual Fine Dining, ""My husbands 40th"", 12/18/2017, 12/16/2017"
Flat Iron Denmark Street,London,"Steakhouse, British, Gluten Free Options",69,4.5,$$ - $$$,1282,"Excellent value steaks, Seat arrangement dissatisfaction, 01/08/2018, 01/07/2018"
Smiths Brasserie - Smiths Wapping,London,"British, Seafood, European, Vegetarian Friendly, Gluten Free Options",70,4.5,$$$$,1218,"My Retirement Lunch, Another wonderful visit, 01/08/2018, 01/08/2018"
Indian Express. West Kensington,London,"Indian, Asian, Balti, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",71,4.5,$$ - $$$,872,"Smashing food and good service, Family Outing, 01/06/2018, 12/30/2017"
The George on the Strand,London,"Gastropub, Bar, European, British, Vegetarian Friendly, Gluten Free Options, Vegan Options",72,4.5,$$ - $$$,487,"Proper Old English Pub, What a lovely pub, 01/03/2018, 12/30/2017"
Texture,London,"European, Scandinavian, Vegetarian Friendly, Gluten Free Options, Vegan Options",73,4.5,$$$$,723,"Thank you, Excellent birthday meal, 01/07/2018, 01/07/2018"
Mattarello Restaurant,London,"Italian, Vegetarian Friendly, Vegan Options, Gluten Free Options",74,4.5,$$ - $$$,502,"Genuine Italian meal, Great Italian in London, 01/08/2018, 01/08/2018"
Clos Maggiore,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",75,4.5,$$$$,3289,"A Gem, Birthday meal, 01/06/2018, 01/04/2018"
The Andover Arms,London,"Bar, British, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options",76,4.5,$$ - $$$,1174,"Great pub, amazing food, nice atmosphere, ""New Years Eve dinner"", 01/02/2018, 01/01/2018"
Park Terrace Restaurant,London,"European, British, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",77,4.5,$$$$,707,"Delicious food and perfect service, Perfect 70th birthday party, 12/24/2017, 12/20/2017"
Afternoon Tea at The Library Lounge,London,"British, Vegetarian Friendly, Gluten Free Options, Vegan Options",78,4.5,$$ - $$$,553,"Dinner .... not afternoon tea! excellent v..., Wonderful, 01/07/2018, 12/22/2017"
Gauthier Soho,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",79,4.5,$$$$,1158,"Outstanding, ""Chefs private dining room - amazing exper..."", 01/03/2018, 01/03/2018"
Chez Bruce,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",80,4.5,$$$$,1314,"Excellent lunch - food, service, ambiance..., Superb, 01/05/2018, 01/04/2018"
Angler,London,"Seafood, European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",81,4.5,$$$$,766,"Great ambiance, excellent management servi..., Business oriented restaurant, 12/21/2017, 12/18/2017"
Roux at Parliament Square,London,"French, European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",82,4.5,$$$$,838,"Superb atmosphere, Spoil yourself, 01/02/2018, 12/30/2017"
Pappa Roma,London,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options",83,4.5,$$ - $$$,324,"Great Italian..., Great find, excellent food, 12/31/2017, 12/28/2017"
Nipa Thai,London,"Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options",84,4.5,$$$$,576,"Amazing dinner, ""Sanguans pad thai! Heart Heart"", 01/05/2018, 01/05/2018"
Omnino Leadenhall,London,"Steakhouse, Grill, Argentinean, Gluten Free Options",85,4.5,$$ - $$$,381,"Very posh restaurant, Nice evening, 01/07/2018, 12/27/2017"
Flat Iron Curtain Road,London,"Steakhouse, European, British, Gluten Free Options",86,4.5,$$ - $$$,229,"Casual steak place // Affordable £10 steak..., Not disappointed, 01/07/2018, 12/27/2017"
Regency Cafe,London,"Cafe, British, Diner, Vegetarian Friendly",87,4.5,$,1002,"Perfect breakfast pace!, Amazing, 01/07/2018, 01/03/2018"
Sketch Lecture Room and Library,London,"French, European, Fusion, Vegetarian Friendly, Vegan Options",88,4.5,$$$$,816,"Amazing and one we won’t forget, The best eating experience of my life, 01/06/2018, 12/31/2017"
Roux at The Landau,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",89,4.5,$$$$,1825,"Birthday surprise that did not disappoint..., Delicious Sunday brunch, 01/08/2018, 01/08/2018"
Flat Iron Covent Garden,London,"Steakhouse, European, British, Gluten Free Options",90,4.5,,1971,"Amazing staff and food, ""Excellent steaks and the chef can cook bl..."", 01/08/2018, 01/08/2018"
MAMIES,London,"French, Contemporary, Healthy, Vegetarian Friendly, Gluten Free Options",91,4.5,$,446,"Great lunch venue, Tasty and well priced, 01/06/2018, 01/05/2018"
Cappadocia,London,"Cafe, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",92,4.5,$,229,"Nice food but no gluten free options as ad..., Amazing, 12/28/2017, 12/28/2017"
Goodman Canary Wharf,London,"American, Steakhouse, European, British, Gluten Free Options",93,4.5,$$$$,703,"superb service superb food SUPERB WAITRESS, Has become a regular on each visit., 01/05/2018, 01/05/2018"
Strut and Cluck,London,"Mediterranean, European, Middle Eastern, Israeli, Vegetarian Friendly, Vegan Options, Gluten Free Options",94,4.5,$$ - $$$,186,"One of my favourite restaurants in London!, Excellent array of food!, 01/08/2018, 01/03/2018"
Cookhouse Joe,London,"Lebanese, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",95,4.5,$,848,"Excellent, would come again!, Boyfriends favourite hideout, 01/06/2018, 12/31/2017"
Italian Pizza Connection,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options",96,4.5,$$ - $$$,1103,"THE BEST PIZZA in LONDON - Italian Pizza C..., Great Italian!, 01/07/2018, 12/15/2017"
Kazan Kitchen,London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",97,4.5,$$ - $$$,414,"Cracking Korea’s Kazan!, Lovely restaurant, 01/03/2018, 12/29/2017"
About Thyme Restaurant,London,"Mediterranean, European, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",98,4.5,$$ - $$$,800,"Great food and nice atmosphere, Excellent Christmas Dinner, 01/04/2018, 12/28/2017"
Town House,London,"British, Vegetarian Friendly, Vegan Options, Gluten Free Options",99,4.5,$$ - $$$,460,"Christmas ""Tale As Old As Time"" tea, A ‘Tale as Old As Time’ to be told for a l..., 01/08/2018, 01/06/2018"
The Ritz Hotel Restaurant,London,"French, European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",100,4.5,$$$$,1859,"Old World Glamour, A Fantastic Place For Our New Years Day An..., 01/08/2018, 01/04/2018"
Blacklock Soho,London,"Steakhouse, Barbecue, British, Gluten Free Options",101,4.5,$$ - $$$,833,"Sunday Roast, Service, 01/07/2018, 01/07/2018"
Union Tavern,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly, Vegan Options, Gluten Free Options",102,4.5,$$ - $$$,646,"Oh my, I wish I lived nearer!, lovey food, 01/04/2018, 01/04/2018"
The White Onion,London,"French, European, Vegetarian Friendly, Gluten Free Options",103,4.5,$$ - $$$,319,"Tremendous food with sensational service, Great choice for a spoil in Wimbledon, 01/06/2018, 12/29/2017"
Trattoria Raffaele,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options, Gluten Free Options",104,5,$$ - $$$,314,"Peg, Bellissimo, 12/20/2017, 12/17/2017"
Comedor Grill & Bar,London,"Steakhouse, Argentinean, South American, Vegetarian Friendly",105,4.5,$$ - $$$,974,"Amazing, Nice place and food !, 01/03/2018, 12/10/2017"
Pera Restaurant islington,London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",106,4.5,$$ - $$$,484,"Dekecious, Great food, great service., 01/05/2018, 01/02/2018"
The Barbary,London,"Mediterranean, Middle Eastern, Israeli, Vegetarian Friendly, Vegan Options, Gluten Free Options",107,4.5,$$ - $$$,267,"Delicious, friendly and fun vibes!, AMAZNG tasteful food, 01/01/2018, 01/01/2018"
Maze Grill Park Walk,London,"Steakhouse, Sushi, European, British, Grill, Vegetarian Friendly, Gluten Free Options",108,4.5,$$ - $$$,322,"Fantastic Service, Wow wow..not just a steak house, 01/05/2018, 01/03/2018"
Hunter 486 at The Arch London,London,"British, Grill, Contemporary, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",109,4.5,$$ - $$$,341,"Very nice service, great breakfast & brunc..., Great service, great atmosphere, great foo..., 01/02/2018, 12/25/2017"
Bonnie Gull Seafood Shack,London,"Seafood, Gluten Free Options",110,4.5,$$ - $$$,610,"FISHH!!!, ""Cant come to London without eating here"", 12/20/2017, 12/20/2017"
Ametsa with Arzak Instruction,London,"European, Spanish, Vegetarian Friendly, Vegan Options",111,4.5,$$$$,775,"New Years Eve, Excellent versatile restaurant, 01/06/2018, 12/24/2017"
The Port House,London,"Mediterranean, European, Spanish, Wine Bar, Vegetarian Friendly, Vegan Options, Gluten Free Options",112,4.5,$$ - $$$,843,"Great lunch, but pricey, Evening Meal, 01/07/2018, 01/05/2018"
Wright Brothers Borough Market,London,"Seafood, European, British, Gluten Free Options",113,4.5,$$ - $$$,928,"Just Wright, excellent fresh fish, 01/08/2018, 01/04/2018"
Cahoots,London,"British, Vegetarian Friendly",114,4.5,$$ - $$$,1039,"Great atmosphere, lovely cocktails, conven..., Best Cocktails in London - Atmosphere to M..., 01/08/2018, 01/08/2018"
The Promenade at The Dorchester,London,"European, British, International, Vegetarian Friendly, Gluten Free Options, Vegan Options",115,4.5,$$$$,1128,"Afternoon Tea, Fabulous afternoon tea, 01/04/2018, 01/03/2018"
Goodman,London,"American, Steakhouse, European, British, Gluten Free Options",116,4.5,$$$$,1984,"Nice environment, good service, Crowd pleaser. Nice steak cuts., 01/08/2018, 01/06/2018"
Zaibatsu,London,"Japanese, Sushi, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",117,4.5,$,694,"Always excellent Japanese ❤️, Small but excellent, 01/07/2018, 12/30/2017"
Guste REMO,London,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",118,4.5,$$ - $$$,232,"Superb Food and Service!, Dinner as a couple om Guste Remo, 12/31/2017, 12/15/2017"
Coda by Eric Chavot,London,Vegetarian Friendly,119,4.5,$$$$,455,"Absolutely fabulous, Beyond 5*, 01/07/2018, 01/02/2018"
Restaurant Story,London,"European, British, Vegetarian Friendly, Gluten Free Options",120,4.5,$$$$,659,"something a bit different, Wonderful food imaginatively presented, 01/08/2018, 01/06/2018"
Chez Antoinette,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",121,4.5,$$ - $$$,516,"Really good place !, Amazing service and French food, 01/07/2018, 12/29/2017"
Ronnie Scotts Jazz Club,London,"Bar, European, British, Vegetarian Friendly",122,4.5,$$ - $$$,665,"Iconic and still great, A great evening out....., 01/04/2018, 01/01/2018"
Salt and Pepper,London,"Cafe, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",123,4.5,$,325,"Great breakfast, Delicious brunch with friendly service, 01/04/2018, 01/03/2018"
Island Grill & Bar,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",124,4.5,$$ - $$$,1249,"Sunday Brunch, Excellent food and service!, 01/07/2018, 01/07/2018"
Heliot Steak House,London,"American, Steakhouse, European, British, International, Gluten Free Options",125,4.5,$$ - $$$,1412,"Cannot Beat the £20 Deal !, Never fails to amaze each visit, 01/07/2018, 01/06/2018"
Afternoon Tea at The Savoy,London,"British, Vegetarian Friendly, Vegan Options, Gluten Free Options",126,4.5,$$$$,805,"Birthday and anniversary, Elegant and Gracious Afternoon, 01/07/2018, 01/06/2018"
Lorne Restaurant,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",127,5,$$$$,97,"Thespy Heaven, Fabulous little restaurant in Pimlico, 01/09/2018, 01/06/2018"
Alyn Williams at the Westbury,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",128,4.5,$$$$,597,"Best of the best !, Really lovely lunch., 12/22/2017, 12/21/2017"
The Frog E1,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",129,4.5,$$ - $$$,344,"Great experience, Wife’s Birthday, 12/23/2017, 12/22/2017"
Kitchen W8,London,"European, British, Gluten Free Options",130,4.5,$$$$,754,"Perfect wineparring and 5 of 6 hits, Love this restaurant, 01/06/2018, 01/03/2018"
Petrus,London,"French, European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",131,4.5,$$$$,3536,"Christmas Day - a fabulous present!!!, Is it as good as Marcus?, 01/05/2018, 01/04/2018"
Seawise,London,"Seafood, British, Gluten Free Options",132,4.5,$$ - $$$,503,"Lunch munch, Fishtastic, 12/06/2017, 11/19/2017"
Chino Latino,London,"Latin, Sushi, Asian, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options",133,4.5,$$$$,1061,"Superb food, ambience and service, Back Again, 01/04/2018, 12/29/2017"
Daphne Restaurant,London,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options, Gluten Free Options",134,5,$$ - $$$,137,"A lovely lunch, Excellent food, 01/06/2018, 01/03/2018"
Fera at Claridges,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",135,4.5,$$$$,1392,"""You wont find any of Maurice Sendaks Wil..."", Excellent meal, brilliant service, 01/03/2018, 01/02/2018"
Orrery,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",136,4.5,$$$$,970,"Very goog meal, Another great meal - highly recommended, 01/07/2018, 01/04/2018"
The Pig and Butcher,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly, Gluten Free Options",137,4.5,$$ - $$$,433,"Amazing Sunday Roast!, lovely dinner, 01/07/2018, 01/06/2018"
Barrafina,London,"Mediterranean, Spanish, Vegetarian Friendly, Gluten Free Options",138,4.5,$$ - $$$,577,"Top quality ingredients, Classy theatre of food, 12/29/2017, 12/26/2017"
Scotts,London,"Seafood, European, British, Soups, Vegetarian Friendly, Gluten Free Options",139,4.5,$$$$,1932,"Delicious meal, friendly service, good val..., A lovely meal in safe hands, 01/07/2018, 01/07/2018"
Artesian,London,"Bar, International, Contemporary, Vegetarian Friendly",140,4.5,$$$$,592,"Our new favourite bar in London, Delightful teas, 01/07/2018, 01/01/2018"
